Date	Open	High	Low	Close*	Adj Close**	Volume
Sep 30, 2022	29,123.03	29,355.78	28,715.85	28,725.51	28,725.51	464,260,000
Sep 29, 2022	29,513.73	29,513.73	28,997.34	29,225.61	29,225.61	388,820,000
Sep 28, 2022	29,198.92	29,811.78	29,114.97	29,683.74	29,683.74	436,040,000
Sep 27, 2022	29,419.88	29,659.12	28,958.22	29,134.99	29,134.99	355,460,000
Sep 26, 2022	29,536.84	29,630.77	29,161.12	29,260.81	29,260.81	369,450,000
Sep 23, 2022	29,955.65	29,955.65	29,250.47	29,590.41	29,590.41	388,200,000
Sep 22, 2022	30,204.52	30,302.28	29,994.53	30,076.68	30,076.68	335,270,000
Sep 21, 2022	30,819.39	31,020.79	30,181.99	30,183.78	30,183.78	354,960,000
Sep 20, 2022	30,888.53	30,888.53	30,465.91	30,706.23	30,706.23	317,970,000
Sep 19, 2022	30,722.86	31,026.89	30,559.37	31,019.68	31,019.68	291,200,000
Sep 16, 2022	30,866.61	30,866.61	30,550.08	30,822.42	30,822.42	627,920,000
Sep 15, 2022	31,124.68	31,277.69	30,882.08	30,961.82	30,961.82	345,500,000
Sep 14, 2022	31,141.02	31,276.82	30,885.02	31,135.09	31,135.09	348,670,000
Sep 13, 2022	32,006.50	32,006.50	31,018.54	31,104.97	31,104.97	428,930,000
Sep 12, 2022	32,159.49	32,504.04	32,159.49	32,381.34	32,381.34	339,250,000
Sep 09, 2022	31,876.22	32,227.74	31,876.22	32,151.71	32,151.71	310,980,000
Sep 08, 2022	31,481.95	31,783.37	31,321.50	31,774.52	31,774.52	344,340,000
Sep 07, 2022	31,145.63	31,644.34	31,095.21	31,581.28	31,581.28	345,080,000
Sep 06, 2022	31,343.79	31,463.89	31,048.46	31,145.30	31,145.30	347,320,000
Sep 02, 2022	31,848.50	32,026.90	31,182.09	31,318.44	31,318.44	306,180,000
Sep 01, 2022	31,454.58	31,677.51	31,219.75	31,656.42	31,656.42	339,360,000
Aug 31, 2022	31,827.15	31,966.04	31,509.59	31,510.43	31,510.43	392,780,000
Aug 30, 2022	32,163.84	32,205.66	31,647.22	31,790.87	31,790.87	317,150,000
Aug 29, 2022	32,188.00	32,325.16	31,972.79	32,098.99	32,098.99	317,820,000
Aug 26, 2022	33,293.43	33,364.70	32,278.22	32,283.40	32,283.40	352,850,000
Aug 25, 2022	33,029.27	33,306.09	32,889.85	33,291.78	33,291.78	308,530,000
